# skill-sources.tsv -- where every third-party skill in ~/.claude/skills comes from,
# and how it is kept current. Consumed by scripts/update-skills.sh (weekly, from the
# SessionStart hook and bootstrap.sh) and by scripts/install-third-party-skills.sh
# (the mode=clone rows only). Supersedes scripts/third-party-skills.tsv (2026-08-18).
#
# WHY THIS FILE EXISTS
# A skill copied into ~/.claude/skills has no memory of where it came from. Without
# a recorded upstream + pinned commit nobody can tell whether it is current, whether
# a local edit exists, or how to refresh it -- which is why, before 2026-08-18, only
# 1 of 114 skills (ponytail, via a hand-written PROVENANCE.md) could be updated at all,
# and clone-mode skills registered here were missing on devices that never re-ran
# bootstrap. This table makes "is it current?" answerable by a script.
#
# COLUMNS (tab-separated; # and blank lines ignored)
#   skill    directory name under ~/.claude/skills/
#   mode     clone  = the whole upstream repo is git-cloned to skills/<skill>/ and is
#                     .gitignore'd (its own .git keeps it current; the .gitignore
#                     entry and this row must always exist together)
#            vendor = files copied at <pinned> from <path> inside <repo>, tracked in
#                     this config repo like any other file
#   repo     https clone URL
#   path     path inside the repo: a directory, a single file (only that file is
#            vendored, e.g. ponytail), or . for the repo root
#   pinned   full commit hash the local copy was verified against, or - when the local
#            copy matches no upstream commit (then policy is effectively review until
#            someone pins it). For clone rows this is informational only.
#   policy   track  = when upstream changes, apply automatically: files you never
#                     touched are replaced; files you edited get a 3-way merge
#                     (upstream-at-pinned -> upstream-HEAD onto your copy); any
#                     conflict downgrades that skill to review for this run
#            review = never write; report the diff and leave the merge to a human
#            pin    = never write, never report (deliberately frozen)
#   note     free text, no tabs
#
# HOW pinned WAS ESTABLISHED (2026-08-18): for each skill the upstream history was
# scanned for the newest commit whose files, compared as sorted "blob-sha relpath"
# lines (mode-agnostic; PROVENANCE.md, __pycache__ and *.pyc ignored), equal the local
# copy. "frontmatter-only" means the ONLY local difference at that commit is the
# SKILL.md front matter (descriptions rewritten to trigger-scenario style in the
# 2026-07 skill audit); "exact" means byte-identical. Rows with pinned=- matched no
# commit even ignoring SKILL.md.
#
# TO ADD a skill: vendor it (copy the upstream path in), then add a row with the
# commit you copied from and policy=track. Run
#     bash ~/.claude/scripts/update-skills.sh --check --skill <name>
# to confirm it reports "current". Skills authored in this repo (dream-skin-*,
# codex-video-skin, humanizer_academic, claudeception, ...) do NOT belong here.
# TO REMOVE a skill from tracking: delete its row (the files stay).
#
# skill	mode	repo	path	pinned	policy	note

# --- clone mode (whole repo, .gitignore'd; installed by install-third-party-skills.sh) ---
apple-hig-designer	clone	https://github.com/axiaoge2/Apple-Hig-Designer.git	.	-	track	SKILL.md at repo root
gstack	clone	https://github.com/garrytan/gstack.git	.	-	track	SKILL.md at repo root; re-registered 2026-08-11 from an intact desktop copy
humanizer	clone	https://github.com/blader/humanizer	.	-	track	SKILL.md at repo root; origin recovered 2026-08-11

# --- mattpocock/skills (installed 2026-07-15 as v1.1.0; grill-me is a one-line wrapper around grilling) ---
grilling	vendor	https://github.com/mattpocock/skills	skills/productivity/grilling	9c9f36ccd3995266cd675468af71639c8dde1ec5	track	exact
grill-me	vendor	https://github.com/mattpocock/skills	skills/productivity/grill-me	9c9f36ccd3995266cd675468af71639c8dde1ec5	track	exact
handoff	vendor	https://github.com/mattpocock/skills	skills/productivity/handoff	9c9f36ccd3995266cd675468af71639c8dde1ec5	track	exact
tdd	vendor	https://github.com/mattpocock/skills	skills/engineering/tdd	9c9f36ccd3995266cd675468af71639c8dde1ec5	track	exact
diagnosing-bugs	vendor	https://github.com/mattpocock/skills	skills/engineering/diagnosing-bugs	9c9f36ccd3995266cd675468af71639c8dde1ec5	track	exact

# --- single-file vendoring ---
ponytail	vendor	https://github.com/DietrichGebert/ponytail	skills/ponytail/SKILL.md	b6c04480c03e8db2f035751d7c46289779ec3362	track	exact; only SKILL.md is vendored (upstream ships hooks/scripts/MCP we keep out); LICENSE copied from repo root

# --- emilkowalski/skills (motion / design-eng) ---
emil-design-eng	vendor	https://github.com/emilkowalski/skills	skills/emil-design-eng	78761e1b57f97dce65b983d640c70a68f39e8163	track	exact
improve-animations	vendor	https://github.com/emilkowalski/skills	skills/improve-animations	78761e1b57f97dce65b983d640c70a68f39e8163	track	exact

# --- vercel-labs/agent-skills (local dirs carry a vercel- prefix; upstream dirs do not) ---
vercel-react-best-practices	vendor	https://github.com/vercel-labs/agent-skills	skills/react-best-practices	b8caa260a420a73042e35521de4b5c8baf6446cc	track	frontmatter-only; upstream added metadata.json/_sections.md/_template.md later
vercel-composition-patterns	vendor	https://github.com/vercel-labs/agent-skills	skills/composition-patterns	a5343bd997c4cc4d8bf2ca61021bdc74b4d6c9d5	track	frontmatter-only
vercel-react-native-skills	vendor	https://github.com/vercel-labs/agent-skills	skills/react-native-skills	485beb804924eb4d96ea99e88a44439039c1ab5e	track	frontmatter-only

# --- anthropics/skills (official) ---
